Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Apple inc,AAPL,"",1028698316.0,140890525000.0,3.91588,3.7873,1,-26307286.0,-2.493568,reduction,6.2231578,Q3 2007,INFORMATION TECHNOLOGY,13F,06/30/2021,35.68,149.8
Microsoft corp.,MSFT,"",505662500.0,136983972000.0,3.8073,3.5938,2,-12986791.0,-2.503964,reduction,6.7288066,Q3 2007,INFORMATION TECHNOLOGY,13F,06/30/2021,70.92,331.62
Amazon.com inc.,AMZN,"",27547904.0,94769199000.0,2.63399,2.5473,3,-464942.0,-1.659746,reduction,5.4395142,Q4 2008,CONSUMER DISCRETIONARY,13F,06/30/2021,1048.21,3372.43
Facebook inc,FB,"",155424508.0,54042657000.0,1.50205,1.3672,4,-2521819.0,-1.59663,reduction,6.5199978,Q2 2012,COMMUNICATIONS,13F,06/30/2021,147.97,323.57
Alphabet inc. class a,GOOGL,"",20243978.0,49431544000.0,1.37389,1.2463,5,-316041.0,-1.537163,reduction,6.7236837,Q3 2007,COMMUNICATIONS,13F,06/30/2021,888.34,2960.92
Alphabet inc. class c,GOOG,"",19114259.0,47906450000.0,1.3315,1.1814,6,-318148.0,-1.637203,reduction,5.9700625,Q2 2014,COMMUNICATIONS,13F,06/30/2021,855.58,2965.41
Nvidia corp.,NVDA,"",172398256.0,34483962000.0,0.95844,0.6988,7,-5723224.0,-3.213102,reduction,1.7295170,Q3 2007,INFORMATION TECHNOLOGY,13F,06/30/2021,107.72,255.67
Tesla inc,TSLA,"",50452309.0,34292435000.0,0.953116,0.9863,8,209946.0,0.417866,addition,5.0961148,Q3 2010,CONSUMER DISCRETIONARY,13F,06/30/2021,227.3004,1114.0
Johnson & johnson co.,JNJ,"",191385110.0,31528781000.0,0.876304,0.9162,9,1694112.0,0.89309,addition,7.2701391,Q3 2007,HEALTH CARE,13F,06/30/2021,125.213,162.88
Jpmorgan chase & co. (chemical bank),JPM,"",197221105.0,30675773000.0,0.852596,0.8874,10,-1134531.0,-0.571968,reduction,6.6000954,Q3 2007,FINANCE,13F,06/30/2021,89.04,169.89
Berkshire hathaway inc class b,BRK.B,"",107754172.0,29947039000.0,0.832341,0.8145,11,-734887.0,-0.677384,reduction,8.1301010,Q3 2007,FINANCE,13F,06/30/2021,169.54,287.01
Visa inc,V,"",124221034.0,29045363000.0,0.80728,0.787,12,-2249696.0,-1.778827,reduction,7.3425100,Q2 2008,FINANCE,13F,06/30/2021,96.24,211.77
Unitedhealth group inc.,UNH,"",69027290.0,27641290000.0,0.768256,0.7707,13,-1455678.0,-2.06529,reduction,7.3206086,Q4 2008,HEALTH CARE,13F,06/30/2021,172.65,460.47
Ishares core s&p 500 etf,IVV,"",61165861.0,26296426000.0,0.730877,0.7177,14,-220396.0,-0.359032,reduction,No Data,Q4 2009,FINANCE,13F,06/30/2021,248.15,460.99
Mastercard inc,MA,"",66373982.0,24232478000.0,0.673512,0.6993,15,-453735.0,-0.678962,reduction,6.7809591,Q3 2007,FINANCE,13F,06/30/2021,124.0,335.52
Paypal holdings inc,PYPL,"",82174887.0,23952335000.0,0.665726,0.5895,16,-424858.0,-0.514358,reduction,6.9934161,Q3 2015,COMMUNICATIONS,13F,06/30/2021,63.1,232.59
Home depot  inc. (the),HD,"",70919820.0,22615623000.0,0.628574,0.6464,17,-1134056.0,-1.5739,reduction,6.7199731,Q3 2007,CONSUMER DISCRETIONARY,13F,06/30/2021,150.02,371.74
Bank of america corp. (north carolina national bank),BAC,"",517125912.0,21321101000.0,0.592594,0.583,18,4391275.0,0.856442,addition,6.1453573,Q3 2007,FINANCE,13F,06/30/2021,23.4919,47.78
Procter & gamble co. (oh) (1905),PG,"",155782432.0,21019725000.0,0.584218,0.6492,19,-7325478.0,-4.491185,reduction,6.4152463,Q3 2007,CONSUMER STAPLES,13F,06/30/2021,90.19,142.99
Walt disney co. (the),DIS,"",119480524.0,21001090000.0,0.5837,0.6318,20,2973659.0,2.552347,addition,6.5752449,Q3 2007,COMMUNICATIONS,13F,06/30/2021,114.0064,169.07
Adobe systems  inc.,ADBE,"",35552254.0,20820821000.0,0.578689,0.5264,21,-2127478.0,-5.646213,reduction,7.4626898,Q3 2007,INFORMATION TECHNOLOGY,13F,06/30/2021,169.61,650.36
Intel corp.,INTC,"",323686641.0,18171769000.0,0.505062,0.6065,22,1241219.0,0.384939,addition,7.9784728,Q3 2007,INFORMATION TECHNOLOGY,13F,06/30/2021,38.7768,49.0
